id,uir_adr_ADRESA_KOD,addr_postcode,addr_conscriptionnumber,addr_streetnumber,addr_street,addr_housenumber,lat,lon,id_cons,addr_conscription,wd_cons
296486142,21722170,11000,600,2,Štupartská,600/2,50.0874594,14.4232401,428812,Staré Město,Q748211
296486241,21723435,11000,700,13,Masná,700/13,50.0895212,14.4245907,428812,Staré Město,Q748211
296486379,21718385,11000,320,1,Konviktská,320/1,50.0829698,14.414256,428812,Staré Město,Q748211
296486551,21716137,11000,158,3,Mariánské náměstí,158/3,50.0867537,14.4178332,428812,Staré Město,Q748211
296486732,21724113,11000,748,2,Haštalská,748/2,50.0903756,14.4230678,428812,Staré Město,Q748211
296486755,21721017,11000,521,8,Havelská,521/8,50.0845221,14.420846,428812,Staré Město,Q748211
296487438,21725691,11000,925,2,Salvátorská,925/2,50.0889898,14.4203313,428812,Staré Město,Q748211
296487539,21716285,11000,175,3,Karlova,175/3,50.0860434,14.4170156,428812,Staré Město,Q748211
296488094,21719888,11000,436,18,Jilská,436/18,50.08554,14.4191825,428812,Staré Město,Q748211
296488521,21725250,11000,865,11,Bílkova,865/11,50.0911873,14.4206512,428812,Staré Město,Q748211
296489447,21716951,11000,219,5,Liliová,219/5,50.0847525,14.4164734,428812,Staré Město,Q748211
296489690,21723061,11000,665,9,Králodvorská,665/9,50.0881023,14.4268125,428812,Staré Město,Q748211
296489724,21727082,11000,1060,3,Benediktská,1060/3,50.0898657,14.4265938,428812,Staré Město,Q748211
296490154,21720037,11000,447,3,Vejvodova,447/3,50.0847033,14.4195837,428812,Staré Město,Q748211
296490546,21714991,11000,24,2,Maiselova,24/2,50.0879713,14.4191808,428812,Staré Město,Q748211
296491079,21719730,11000,421,5,Skořepka,421/5,50.0838369,14.4193317,428812,Staré Město,Q748211
296491198,21726787,11000,1039,27,Revoluční,1039/27,50.092799,14.4265561,428812,Staré Město,Q748211
296491352,21720860,11000,512,2,Michalská,512/2,50.0844271,14.4200518,428812,Staré Město,Q748211
296491655,21720711,11000,503,19,Havelská,503/19,50.0853774,14.4214566,428812,Staré Město,Q748211
296491758,21722757,11000,641,4,Týn,641/4,50.0878229,14.423656,428812,Staré Město,Q748211
296491937,21717702,11000,271,5,U Dobřenských,271/5,50.0842018,14.4155891,428812,Staré Město,Q748211
296492000,21726388,11000,1002,8,Kozí,1002/8,50.0911918,14.4223431,428812,Staré Město,Q748211
296492062,21718687,11000,344,5,Na Perštýně,344/5,50.0828444,14.4187824,428812,Staré Město,Q748211
296492085,21716340,11000,180,20,Liliová,180/20,50.0858619,14.4163715,428812,Staré Město,Q748211
296492149,21715688,11000,100,1,náměstí Curieových,100/1,50.0923505,14.4194612,428812,Staré Město,Q748211
296492352,21726230,11000,977,8,Malá Štupartská,977/8,50.0888639,14.4245479,428812,Staré Město,Q748211
296492549,21715157,11000,52,8,Valentinská,52/8,50.0881996,14.4166351,428812,Staré Město,Q748211
296492608,21716650,11000,197,26,Smetanovo nábřeží,197/26,50.085466,14.4141399,428812,Staré Město,Q748211
296492693,21715831,11000,120,1,Kostečná,120/1,50.0891005,14.4199408,428812,Staré Město,Q748211
296493122,21717699,11000,271,12,Náprstkova,271/12,50.0842894,14.4155252,428812,Staré Město,Q748211
296493580,21715301,11000,77,3,17. listopadu,77/3,50.0905532,14.4162584,428812,Staré Město,Q748211
296493588,21718539,11000,329,18,Smetanovo nábřeží,329/18,50.0843505,14.4135515,428812,Staré Město,Q748211
296493988,21723885,11000,732,25,Rybná,732/25,50.0906816,14.4254994,428812,Staré Město,Q748211
296493992,21725934,11000,948,4,Stříbrná,948/4,50.0848651,14.4148519,428812,Staré Město,Q748211
296494255,21718831,11000,353,2,Vejvodova,353/2,50.0843849,14.4189606,428812,Staré Město,Q748211
296494725,21715980,11000,146,23,Karlova,146/23,50.0861493,14.4187774,428812,Staré Město,Q748211
