id,geom,addr_postcode,addr_conscriptionnumber,addr_streetnumber,addr_street,addr_housenumber,id_cons,addr_conscription,wd_cons
node_296587454,POINT(14.4063916 50.0870259),11800,55,4,Saská,55/4,relation_433401,Malá Strana,Q753289
node_296579891,POINT(14.4046179 50.0818703),11800,424,22,Újezd,424/22,relation_433401,Malá Strana,Q753289
node_296634718,POINT(14.4060804 50.0818911),11800,440,6,Říční,440/6,relation_433401,Malá Strana,Q753289
node_296595771,POINT(14.4077072 50.0896412),11800,593,9,Letenská,593/9,relation_433401,Malá Strana,Q753289
node_296583037,POINT(14.4105080 50.0914505),11800,130,2,nábřeží Edvarda Beneše,130/2,relation_433401,Malá Strana,Q753289
node_296587523,POINT(14.4088892 50.0914341),11800,150,4,Valdštejnská,150/4,relation_433401,Malá Strana,Q753289
node_296622405,POINT(14.4003860 50.0879935),11800,519,22,Tržiště,519/22,relation_433401,Malá Strana,Q753289
node_296627107,POINT(14.4077934 50.0859458),11800,500,1,Hroznová,500/1,relation_433401,Malá Strana,Q753289
node_296612814,POINT(14.4047879 50.0892936),11800,12,9,Tomášská,12/9,relation_433401,Malá Strana,Q753289
node_296648917,POINT(14.4056042 50.0890425),11800,28,22,Letenská,28/22,relation_433401,Malá Strana,Q753289
node_296626987,POINT(14.4050234 50.0893941),11800,21,14,Tomášská,21/14,relation_433401,Malá Strana,Q753289
node_296587266,POINT(14.4087791 50.0858879),11800,508,15,Na Kampě,508/15,relation_433401,Malá Strana,Q753289
node_296616903,POINT(14.4048145 50.0874756),11800,273,21,Mostecká,273/21,relation_433401,Malá Strana,Q753289
node_296604229,POINT(14.3953156 50.0856662),11800,339,23a,Vlašská,339/23a,relation_433401,Malá Strana,Q753289
node_296604145,POINT(14.4041594 50.0867762),11800,297,10,Prokopská,297/10,relation_433401,Malá Strana,Q753289
node_296593334,POINT(14.4035524 50.0841447),11800,395,11,Hellichova,395/11,relation_433401,Malá Strana,Q753289
node_296651190,POINT(14.4083905 50.0864275),11800,494,10,Hroznová,494/10,relation_433401,Malá Strana,Q753289
node_296592028,POINT(14.4090163 50.0899841),11800,120,5,Letenská,120/5,relation_433401,Malá Strana,Q753289
node_296634495,POINT(14.4045428 50.0839330),11800,452,44,Újezd,452/44,relation_433401,Malá Strana,Q753289
node_296572902,POINT(14.4019494 50.0889993),11800,200,5,Zámecká,200/5,relation_433401,Malá Strana,Q753289
node_296615520,POINT(14.4064667 50.0871877),11800,55,3,Mostecká,55/3,relation_433401,Malá Strana,Q753289
node_296631497,POINT(14.4037130 50.0896500),11800,174,7,Sněmovní,174/7,relation_433401,Malá Strana,Q753289
node_296574731,POINT(14.4047645 50.0850055),11800,388,4,Karmelitská,388/4,relation_433401,Malá Strana,Q753289
node_296587511,POINT(14.3979596 50.0886175),11800,223,40,Nerudova,40,relation_433401,Malá Strana,Q753289
node_296627018,POINT(14.4061324 50.0842828),11800,463,4,Hellichova,463/4,relation_433401,Malá Strana,Q753289
node_296634316,POINT(14.4000813 50.0875475),11800,305,6,Břetislavova,305/6,relation_433401,Malá Strana,Q753289
node_296643966,POINT(14.3938859 50.0861369),11800,340,42,Vlašská,340/42,relation_433401,Malá Strana,Q753289
node_296593402,POINT(14.3976818 50.0881661),11800,237,6,Jánská,237/6,relation_433401,Malá Strana,Q753289
node_296611507,POINT(14.4078486 50.0877296),11800,68,8,Míšeňská,68/8,relation_433401,Malá Strana,Q753289
node_296638906,POINT(14.4059958 50.0871663),11800,282,19,Lázeňská,282/19,relation_433401,Malá Strana,Q753289
node_296579370,POINT(14.3989353 50.0877196),11800,310,4,Jánský vršek,310/4,relation_433401,Malá Strana,Q753289
node_296571735,POINT(14.4063031 50.0859225),11800,486,2,Velkopřevorské náměstí,486/2,relation_433401,Malá Strana,Q753289
node_296610239,POINT(14.4004419 50.0891148),11800,193,25,Thunovská,193/25,relation_433401,Malá Strana,Q753289
node_296581866,POINT(14.4031113 50.0845254),11800,535,22,Hellichova,535/22,relation_433401,Malá Strana,Q753289
node_296594641,POINT(14.4046304 50.0853022),11800,386,2,Harantova,386/2,relation_433401,Malá Strana,Q753289
node_296627550,POINT(14.4073195 50.0865118),11800,488,5,Velkopřevorské náměstí,488/5,relation_433401,Malá Strana,Q753289
node_296581921,POINT(14.4062479 50.0815702),11800,565,8,Šeříková,565/8,relation_433401,Malá Strana,Q753289
node_296640527,POINT(14.4009918 50.0891802),11800,187,4,Zámecké schody,187/4,relation_433401,Malá Strana,Q753289
node_296621751,POINT(14.4039701 50.0844994),11800,397,14,Hellichova,397/14,relation_433401,Malá Strana,Q753289
node_296650331,POINT(14.4083849 50.0863740),11800,494,6,Na Kampě,494/6,relation_433401,Malá Strana,Q753289
node_296582053,POINT(14.4074060 50.0872274),11800,78,5,U Lužického semináře,3,relation_433401,Malá Strana,Q753289
node_296633265,POINT(14.4037173 50.0894326),11800,175,5,Sněmovní,175/5,relation_433401,Malá Strana,Q753289
node_296631019,POINT(14.4046521 50.0889494),11800,8,1,Thunovská,8/1,relation_433401,Malá Strana,Q753289
node_296580523,POINT(14.4074612 50.0873101),11800,77,3,U lužického semináře,77/3,relation_433401,Malá Strana,Q753289
node_296573279,POINT(14.4057358 50.0905464),11800,158,14,Valdštejnská,158/14,relation_433401,Malá Strana,Q753289
node_296601562,POINT(14.3997043 50.0874883),11800,353,13,Břetislavova,353/13,relation_433401,Malá Strana,Q753289
node_296574174,POINT(14.3952769 50.0866234),11800,338,40,Vlašská,338/40,relation_433401,Malá Strana,Q753289
node_296628446,POINT(14.4038009 50.0827872),11800,408,4,U lanové dráhy,408/4,relation_433401,Malá Strana,Q753289
node_296582402,POINT(14.4091332 50.0877255),11800,97,18,U lužického semináře,97/18,relation_433401,Malá Strana,Q753289
node_296650543,POINT(14.4067058 50.0874013),11800,58,2,Dražického náměstí,58/2,relation_433401,Malá Strana,Q753289
node_296602302,POINT(14.3986230 50.0879764),11800,312,8,Jánský vršek,312/8,relation_433401,Malá Strana,Q753289
node_296628156,POINT(14.4041688 50.0851524),11800,528,3,Karmelitská,528/3,relation_433401,Malá Strana,Q753289
node_296615712,POINT(14.4063850 50.0847499),11800,468,4,Nosticova,468/4,relation_433401,Malá Strana,Q753289
node_296594212,POINT(14.4046858 50.0886653),11800,518,1,Tomášská,518/1,relation_433401,Malá Strana,Q753289
node_296573423,POINT(14.4059057 50.0874484),11800,46,18,Mostecká,46/18,relation_433401,Malá Strana,Q753289
node_296602192,POINT(14.3986961 50.0876855),11800,325,9,Jánský vršek,325/9,relation_433401,Malá Strana,Q753289
node_296573373,POINT(14.3983887 50.0875712),11800,331,26,Vlašská,331/26,relation_433401,Malá Strana,Q753289
node_296621132,POINT(14.4002874 50.0874734),11800,360,5,Břetislavova,360/5,relation_433401,Malá Strana,Q753289
node_296589333,POINT(14.3988661 50.0871870),11800,348,17,Vlašská,348/17,relation_433401,Malá Strana,Q753289
node_296594241,POINT(14.4045356 50.0875273),11800,272,1,Malostranské náměstí,272/1,relation_433401,Malá Strana,Q753289
node_296627813,POINT(14.4055070 50.0859376),11800,476,1,Lázeňská,476/1,relation_433401,Malá Strana,Q753289
node_296591603,POINT(14.4051923 50.0830740),11800,433,23,Všehrdova,433/23,relation_433401,Malá Strana,Q753289
node_296588542,POINT(14.4055032 50.0867064),11800,289,9,Lázeňská,289/9,relation_433401,Malá Strana,Q753289
node_296611041,POINT(14.4084226 50.0865643),11800,493,7,Na Kampě,493/7,relation_433401,Malá Strana,Q753289
node_296594419,POINT(14.4078916 50.0856187),11800,543,9,U Sovových mlýnů,543/9,relation_433401,Malá Strana,Q753289
node_296615857,POINT(14.4053532 50.0862740),11800,481,12,Maltézské náměstí,481/12,relation_433401,Malá Strana,Q753289
node_296595514,POINT(14.4092232 50.0929703),11800,136,6,Pod Bruskou,136/6,relation_433401,Malá Strana,Q753289
node_296591169,POINT(14.4016442 50.0886906),11800,207,6,Nerudova,207/6,relation_433401,Malá Strana,Q753289
node_296628926,POINT(14.4087189 50.0901211),11800,122,6,Letenská,122/6,relation_433401,Malá Strana,Q753289
node_296632598,POINT(14.4032382 50.0861543),11800,546,13,Karmelitská,546/13,relation_433401,Malá Strana,Q753289
node_296609653,POINT(14.4036718 50.0845093),11800,553,18,Hellichova,553/18,relation_433401,Malá Strana,Q753289
node_296582642,POINT(14.4080544 50.0877569),11800,69,6,Míšeňská,69/6,relation_433401,Malá Strana,Q753289
node_296595494,POINT(14.4085899 50.0874958),11800,89,8,U lužického semináře,89/8,relation_433401,Malá Strana,Q753289
node_296616550,POINT(14.3977111 50.0884358),11800,237,39,Nerudova,237/39,relation_433401,Malá Strana,Q753289
node_296622231,POINT(14.4034081 50.0869909),11800,372,27,Karmelitská,372/27,relation_433401,Malá Strana,Q753289
node_296649587,POINT(14.4033485 50.0872035),11800,266,4,Tržiště,266/4,relation_433401,Malá Strana,Q753289
node_296627174,POINT(14.4062293 50.0873863),11800,49,12,Mostecká,49/12,relation_433401,Malá Strana,Q753289
node_296579904,POINT(14.4042530 50.0902244),11800,164,8,Sněmovní,164/8,relation_433401,Malá Strana,Q753289
node_296609529,POINT(14.4040425 50.0903509),11800,165,10,Sněmovní,165/10,relation_433401,Malá Strana,Q753289
node_296587601,POINT(14.4046682 50.0894716),11800,13,11,Tomášská,13/11,relation_433401,Malá Strana,Q753289
node_296593422,POINT(14.4072071 50.0891477),11800,525,15,Letenská,525/15,relation_433401,Malá Strana,Q753289
node_296651091,POINT(14.4093633 50.0878366),11800,99,22,U Lužického semináře,99/22,relation_433401,Malá Strana,Q753289
node_296595743,POINT(14.4059097 50.0910520),11800,156,12a,Valdštejnská,156/12a,relation_433401,Malá Strana,Q753289
node_296587596,POINT(14.4019874 50.0888054),11800,205,1,Zámecká,205/1,relation_433401,Malá Strana,Q753289
node_296589601,POINT(14.4028780 50.0876753),11800,262,9,Malostranské náměstí,262/9,relation_433401,Malá Strana,Q753289
node_296612923,POINT(14.3977584 50.0886037),11800,224,42,Nerudova,224/42,relation_433401,Malá Strana,Q753289
node_296574459,POINT(14.4036511 50.0833548),11800,404,29,Újezd,404/29,relation_433401,Malá Strana,Q753289
node_296609691,POINT(14.4087552 50.0922572),11800,148,4,Staré zámecké schody,148/4,relation_433401,Malá Strana,Q753289
node_296639135,POINT(14.3996657 50.0873376),11800,353,14,Vlašská,353/14,relation_433401,Malá Strana,Q753289
node_296649825,POINT(14.4020840 50.0881537),11800,258,13,Malostranské náměstí,258/13,relation_433401,Malá Strana,Q753289
node_296580207,POINT(14.4046015 50.0866883),11800,295,6,Prokopská,295/6,relation_433401,Malá Strana,Q753289
node_296589361,POINT(14.3974520 50.0879781),11800,319,8,Šporkova,319/8,relation_433401,Malá Strana,Q753289
node_296616244,POINT(14.4004544 50.0891886),11800,193,1,Zámecké schody,193/1,relation_433401,Malá Strana,Q753289
node_296649851,POINT(14.4070653 50.0876329),11800,65,10,Dražického náměstí,65/10,relation_433401,Malá Strana,Q753289
